unique_id,OFFRTG,DEFRTG,NETRTG,EFG%,TS%,PACE,PIE
2101.001,132.7,84.7,48.1,61.4,66,106.61,76.5
10011.02,117.5333333,87.9,29.6,56.76666667,60,96.86666667,67.86666667
111.2,109.4,86.1,23.4,54.3,59.2,106.22,70.1
1101.02,122.925,99.825,23.1,60.75,65.025,104.815,63.55
2001.02,130.5,107.9,22.6,61.1,66.7,99.77,63.1
102.2,118.9,96.4,22.5,56.6,59.5,96.24,62.6
11001.2,113.6,95.2,18.4,51.8,57.1,95.58,64.6
200.111,104.2,86,18.2,59.4,63.6,100.34,66.9
10011.011,115.75,97.95,17.9,51.9,57.35,99.565,64.35
10011.2,114.6,96.8,17.7,54.1,57.8,93.67,59.2