position_one,position_two,position_three,position_four,position_five,unique_id,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
Combo Guards,Scoring Wings,Defensive Centers,Offensive Centers,3-and-D Wings,11000.111,13,128,100.5,97,3.6,57.8,1.19,17.4,33.6,73,53.8,0.2,51.5,53.1,98.09,52.1
3-and-D Wings,Combo Guards,Defensive Centers,Versatile Forwards,3-and-D Wings,1001.021,16,142,109.8,106.7,3.2,69,1.98,21.4,19.8,75,49.1,0.1,57.3,59.6,101.47,54.2
Shooting Wings,Defensive Centers,Versatile Forwards,Combo Guards,Versatile Forwards,1102.001,25,462,107.4,104.3,3.2,55.4,1.75,17.2,24.4,81,52.5,0.1,52.8,55,95.33,50.7
Shooting Wings,Defensive Centers,Offensive Centers,Combo Guards,Versatile Forwards,11101.001,48,915,104.2,100.9,3.2,48.1,1.45,14.5,30.5,78.2,52.4,0.1,48.9,51.3,96.78,49.6
Versatile Forwards,Combo Guards,Scoring Wings,Offensive Centers,Versatile Forwards,11002.1,16,220,98.9,95.8,3.1,53.6,1.3,15.7,28.6,84.4,56.4,0.2,46.9,50.9,101.29,50.9
3-and-D Wings,Offensive Centers,Offensive Centers,Scoring Wings,Combo Guards,21000.11,9,112,115.4,112.4,3,60.6,2.22,19.2,24,65.5,47,0.1,54.5,58.7,99.09,53.7
Shooting Wings,Offensive Centers,Offensive Centers,Scoring Wings,Combo Guards,21100.1,11,79,108.2,105.3,2.9,52.9,2,16.8,28.2,76,52.7,0.1,48.9,53.4,96.87,53.3
Offensive Centers,Combo Guards,Versatile Forwards,Offensive Centers,,,7,69,106.7,104,2.7,51.6,2.2,17.7,26.2,79,52,0.1,51.2,52.6,95.45,50.8
Versatile Forwards,Shooting Wings,Shooting Wings,3-and-D Wings,Offensive Centers,10201.01,12,133,106.1,103.4,2.7,64.7,1.83,20.2,27.8,73,49.4,0.2,52,54.5,98.62,49.6
Shooting Wings,Offensive Centers,Offensive Centers,Combo Guards,Shooting Wings,21200,22,220,93.3,90.6,2.7,51.9,1.53,15,20,72.7,49.2,0.1,43.9,48.2,96.34,54
Scoring Wings,Offensive Centers,Defensive Centers,Versatile Forwards,Combo Guards,11001.101,15,154,104.6,101.9,2.6,62.5,1.43,18.9,27.4,81,54.9,0.2,53.8,55.7,96.27,50.8
Shooting Wings,Offensive Centers,3-and-D Wings,Floor Generals,Versatile Forwards,10111.01,25,72,100.4,97.9,2.5,79.6,1.87,20.9,16.2,70.6,43.4,0.2,51.2,54.5,96.2,50.2
Shooting Wings,3-and-D Wings,Defensive Centers,Offensive Centers,Combo Guards,11100.011,60,723,105.3,102.9,2.4,67.9,2.23,20,24,71.9,47.7,0.1,50.5,53.3,98.78,51
3-and-D Wings,Defensive Centers,Shooting Wings,Offensive Centers,Scoring Wings,10100.111,34,194,106.3,104.3,2,58.9,1.82,18.3,16.9,84.2,51,0.1,53.6,56.5,96.52,50.6
Shooting Wings,Scoring Wings,Offensive Centers,Combo Guards,Versatile Forwards,11101.1,26,408,108.2,106.4,1.8,59.9,1.85,18.9,17.3,78.1,48.7,0.1,53.9,57.7,94.02,51.7
Versatile Forwards,Offensive Centers,Combo Guards,Scoring Wings,Offensive Centers,21001.1,22,175,113,111.3,1.6,62.4,1.96,18.7,14.8,78.5,47.6,0.1,56.3,60.4,98.86,48.8
Combo Guards,Shooting Wings,Shooting Wings,Offensive Centers,3-and-D Wings,11200.01,19,77,98.8,97.4,1.4,65.1,1.95,19.3,17.1,76.9,44.7,0.1,49.3,52,98.61,49.7
Offensive Centers,Defensive Centers,3-and-D Wings,3-and-D Wings,Floor Generals,10010.021,13,143,106.2,104.9,1.3,63.8,1.46,19.9,17.9,79.9,52.1,0.2,57,60,103.73,53
3-and-D Wings,Defensive Centers,3-and-D Wings,Shooting Wings,Scoring Wings,100.121,26,132,100.8,99.5,1.2,54.4,1.56,15.8,27.9,75.9,50.2,0.1,46.9,50.4,96.51,49
Scoring Wings,Versatile Forwards,Floor Generals,Defensive Centers,3-and-D Wings,11.111,21,90,116.5,115.6,1,58.7,1.57,17.1,17.8,74.7,48.1,0.1,56.6,63,104.24,53.3
Shooting Wings,Offensive Centers,Offensive Centers,Versatile Forwards,Combo Guards,21101,11,146,111.5,110.7,0.7,55.8,1.57,18.3,25.7,69.2,50.2,0.2,55.6,59.2,97.56,51.9
3-and-D Wings,3-and-D Wings,Combo Guards,Combo Guards,Offensive Centers,12000.02,23,259,108.1,107.6,0.5,70.1,2.23,20.6,16.4,77,46.4,0.1,53.7,57,96.78,48.7
Versatile Forwards,Shooting Wings,Combo Guards,Scoring Wings,Offensive Centers,11101.1,23,73,106,105.6,0.4,62.7,1.68,16.3,20,80.3,48.1,0.1,48.7,54.8,97.91,52
Offensive Centers,3-and-D Wings,Combo Guards,Scoring Wings,Defensive Centers,11000.111,28,339,100.3,100,0.3,57.3,1.52,17.4,22.9,77,51.3,0.2,50.4,52.9,92.35,50.9
Shooting Wings,Defensive Centers,3-and-D Wings,Shooting Wings,Combo Guards,1200.011,22,87,115,114.7,0.3,52.2,1.35,14.3,29.9,74.7,52,0.1,50,58.4,104.51,50.4
Shooting Wings,3-and-D Wings,Offensive Centers,Offensive Centers,Combo Guards,21100.01,6,93,102,101.8,0.2,68.8,2.65,19.1,30.2,78.9,53.8,0.1,44.7,48.8,99.72,51.7
3-and-D Wings,Defensive Centers,3-and-D Wings,Shooting Wings,Floor Generals,110.021,15,115,105.3,105.1,0.2,68.6,2,21.3,21,67.5,45.5,0.1,55,55.7,100.07,49.7
3-and-D Wings,Scoring Wings,Defensive Centers,Floor Generals,Shooting Wings,110.111,10,80,104.1,103.8,0.2,54.5,1.71,16,28.9,77.6,50.7,0.1,48,51.1,95.48,49.1
Combo Guards,Scoring Wings,Offensive Centers,Defensive Centers,Versatile Forwards,11001.101,35,163,109.5,109.4,0.1,61.4,1.56,18.5,25.8,76.6,53.1,0.2,55.3,57.8,92.91,49
3-and-D Wings,Scoring Wings,Combo Guards,Offensive Centers,Versatile Forwards,11001.11,22,103,109.6,109.6,0,56.6,1.68,17.4,26.4,72.9,52.1,0.1,51.7,56.2,91.76,49.9
Versatile Forwards,Offensive Centers,Scoring Wings,Shooting Wings,Versatile Forwards,10102.1,19,144,96.7,96.9,-0.1,55.1,1.06,14.2,18.4,80.9,51,0.2,45.7,53.3,101.73,49.9
Versatile Forwards,Combo Guards,Versatile Forwards,Offensive Centers,Shooting Wings,11102,21,89,106,106.3,-0.3,60.9,2,17.2,18.4,77.9,44.5,0.1,49.4,54.5,99.22,50.2
Versatile Forwards,Scoring Wings,Shooting Wings,Offensive Centers,3-and-D Wings,10101.11,27,289,110.7,111.1,-0.3,63.9,2.6,20.3,17.8,73.4,45.1,0.1,53.4,57.1,94.85,49.4
Shooting Wings,Versatile Forwards,Offensive Centers,3-and-D Wings,3-and-D Wings,10101.02,40,419,100.8,101.1,-0.3,66.9,1.79,18.5,19.6,76.8,48.6,0.1,49,52.9,93.56,52.3
Versatile Forwards,3-and-D Wings,Scoring Wings,Offensive Centers,Offensive Centers,20001.11,10,86,103.4,104.1,-0.6,56.1,1.61,16.6,17.8,71.8,46.8,0.1,52.1,54.9,95.13,51.3
Versatile Forwards,Defensive Centers,3-and-D Wings,3-and-D Wings,Floor Generals,11.021,23,178,103.8,104.4,-0.7,60.4,1.48,18.8,21.3,76.2,50.4,0.2,54.8,56.7,103.17,51.7
Shooting Wings,Versatile Forwards,Scoring Wings,Scoring Wings,Defensive Centers,101.201,19,101,105.3,106,-0.7,59.5,1.79,17.4,33.3,67.7,50.8,0.1,48.2,51.9,97.18,52.8
Shooting Wings,Versatile Forwards,Versatile Forwards,Scoring Wings,Defensive Centers,102.101,13,98,101.3,102.8,-1.4,58.8,1.74,18.2,20.9,77.2,47.9,0.1,50.6,53.1,94.27,48.2
Shooting Wings,Combo Guards,Scoring Wings,Offensive Centers,Versatile Forwards,11101.1,9,66,113.6,115,-1.4,64.4,1.9,20.9,32.7,89.4,59.6,0.2,55.9,58.2,93.9,48.8
Shooting Wings,Versatile Forwards,Combo Guards,3-and-D Wings,Defensive Centers,1101.011,25,71,103,104.6,-1.6,60.7,2,17.6,28.8,70.8,48.6,0.1,46.2,50,93.65,49.7
Versatile Forwards,Combo Guards,Scoring Wings,Offensive Centers,Offensive Centers,21001.1,52,611,106,107.7,-1.7,55.3,1.54,16.6,26.2,78.9,51.4,0.1,51.6,54.3,96.73,45.8
3-and-D Wings,Scoring Wings,Defensive Centers,Scoring Wings,Floor Generals,10.211,22,78,117.7,119.5,-1.8,50,1.65,16.8,25.4,68.3,46.3,0.1,57.8,60.5,91.91,45.9
Shooting Wings,3-and-D Wings,Floor Generals,Defensive Centers,Offensive Centers,10110.011,50,735,103.7,105.8,-2.1,50.1,1.41,15.6,26.3,77.6,52.8,0.1,50.2,53.3,94.25,48.9
Shooting Wings,Versatile Forwards,Scoring Wings,Scoring Wings,Offensive Centers,10101.2,20,71,106.7,108.9,-2.2,62.3,2.38,20,21.3,70.7,45.4,0.1,52.4,54.5,97.13,47
Shooting Wings,Defensive Centers,Defensive Centers,Scoring Wings,3-and-D Wings,100.112,14,200,95.7,98.2,-2.5,55.8,0.98,14.8,33.3,81.7,56.9,0.2,46.6,50.4,98.78,47.1
3-and-D Wings,Defensive Centers,Versatile Forwards,Combo Guards,Scoring Wings,1001.111,9,71,98.8,101.3,-2.5,57.1,2.91,16.6,26,66.7,44.9,0.1,43.2,46.8,95.37,48.3
Defensive Centers,3-and-D Wings,Shooting Wings,Defensive Centers,Combo Guards,1100.012,21,290,104.8,107.3,-2.6,64.3,1.84,18.2,31.4,78.5,53.5,0.1,47.5,51.9,97.41,49
Offensive Centers,3-and-D Wings,Floor Generals,Defensive Centers,3-and-D Wings,10010.021,36,262,106,108.6,-2.7,63.6,2.09,19.4,26.3,71.1,48.5,0.1,50.1,53.5,93.99,51
3-and-D Wings,Shooting Wings,Combo Guards,Offensive Centers,Defensive Centers,11100.011,15,229,104.1,107,-2.8,57.1,1.51,16.6,28.4,80.1,51.9,0.1,49.8,53.1,95.99,46.2
Shooting Wings,Scoring Wings,Combo Guards,Offensive Centers,Versatile Forwards,11101.1,23,69,94.8,97.8,-3,50,1.29,15.4,16.7,70.4,47.2,0.2,48.7,51.9,93.79,48.9
Defensive Centers,Shooting Wings,Combo Guards,Shooting Wings,Offensive Centers,11200.001,18,103,104.5,107.6,-3.1,50,1.29,15.4,20.2,79.2,52.4,0.2,52.6,56.1,94.01,48.4
3-and-D Wings,Defensive Centers,3-and-D Wings,Shooting Wings,Floor Generals,110.021,38,311,101.9,105,-3.1,72,2.26,21.5,20.1,79.7,49,0.1,51.4,53.1,98,49.7
Versatile Forwards,Combo Guards,Offensive Centers,3-and-D Wings,Shooting Wings,11101.01,26,199,101.6,105,-3.3,61.1,1.69,17.7,19.3,71.3,45.5,0.1,49.8,53.6,94.75,47.7
Shooting Wings,Offensive Centers,Versatile Forwards,Combo Guards,Shooting Wings,11201,26,203,99.4,102.9,-3.5,63.1,1.87,17.6,18.6,69.1,44.3,0.1,47.5,51.7,100.89,50.6
Defensive Centers,Shooting Wings,Versatile Forwards,Scoring Wings,Floor Generals,111.101,12,82,106.2,109.8,-3.6,63.5,1.81,20.1,26.5,59.7,44.1,0.2,53.4,55.8,100.8,48.3
Scoring Wings,Shooting Wings,Scoring Wings,Defensive Centers,Offensive Centers,10100.201,25,156,101,104.7,-3.7,56.8,1.42,17.7,23.4,73.7,48.1,0.2,52.2,54.1,98.29,47.7
3-and-D Wings,Combo Guards,Scoring Wings,Offensive Centers,Versatile Forwards,11001.11,30,296,104.7,108.4,-3.7,59.4,1.57,18.1,28.5,76.6,51.7,0.2,50.7,53.9,96.43,47
Offensive Centers,Defensive Centers,Shooting Wings,Shooting Wings,Scoring Wings,10200.101,23,70,105.2,109.1,-3.9,44,0.76,13.1,35.4,79.2,58.4,0.2,53.8,58,89.52,47.4
Offensive Centers,Shooting Wings,Floor Generals,Defensive Centers,3-and-D Wings,10110.011,12,122,100.2,104.3,-4.1,71.1,1.88,19.1,21.2,70.9,46.5,0.1,46.8,52.2,97.58,50.3
Shooting Wings,3-and-D Wings,Shooting Wings,Combo Guards,Defensive Centers,1200.011,25,87,99.9,104.3,-4.4,65.2,1.72,18,24.7,75.3,49.3,0.1,45.3,51.7,98.4,48.1
Shooting Wings,Defensive Centers,Combo Guards,Shooting Wings,Versatile Forwards,1201.001,28,72,99,103.5,-4.4,36.2,1.24,10.8,31.3,86,54,0.1,45.3,47,99.57,41.9
Defensive Centers,Offensive Centers,Combo Guards,Shooting Wings,Versatile Forwards,11101.001,21,102,107.4,111.9,-4.5,50,1.4,15.5,23.7,87.5,50.9,0.1,53.4,55.6,96.7,44.5
Scoring Wings,Scoring Wings,Offensive Centers,Floor Generals,3-and-D Wings,10010.21,15,87,99.8,104.6,-4.7,60,1.44,15.8,14.6,74.7,44.1,0.1,49.3,53.8,103.41,44.5
Offensive Centers,Offensive Centers,Scoring Wings,3-and-D Wings,Scoring Wings,20000.21,15,131,104.1,109.6,-5.5,64.7,1.78,18.6,26.6,76.1,50.2,0.1,48.9,52.9,93.66,47.6
3-and-D Wings,Defensive Centers,Floor Generals,Shooting Wings,Shooting Wings,210.011,9,71,108.6,114.1,-5.5,61.9,2.29,21.3,1.7,67.1,37.2,0.1,60.3,61.2,99.83,45.8
Versatile Forwards,Combo Guards,Offensive Centers,Shooting Wings,Offensive Centers,21101,19,72,108.8,114.3,-5.5,63.6,2.06,17.9,29,78.7,52.3,0.1,49.2,53.2,94.19,46.7
Shooting Wings,Scoring Wings,Combo Guards,Offensive Centers,Defensive Centers,11100.101,25,327,102.1,107.8,-5.7,50.6,1.3,14.8,24.8,75.7,50,0.1,48.6,53.4,95.87,47.1
Defensive Centers,Combo Guards,Shooting Wings,Versatile Forwards,Versatile Forwards,1102.001,14,75,103.4,109.1,-5.7,62.5,1.4,17.1,31.9,85.9,57.9,0.2,48.1,52.8,95.35,47.3
Shooting Wings,Versatile Forwards,Scoring Wings,Floor Generals,Defensive Centers,111.101,22,219,102.3,108.5,-6.2,65.4,1.87,19.3,24.4,77.3,50.7,0.1,50.5,53,102.64,48.5
3-and-D Wings,Shooting Wings,Offensive Centers,Combo Guards,Versatile Forwards,11101.01,18,155,99.8,106,-6.2,55,1.61,16.5,15.1,72.1,44.4,0.1,49.2,53.3,97.07,45.7
Shooting Wings,Scoring Wings,Defensive Centers,3-and-D Wings,3-and-D Wings,100.121,27,114,96.2,102.6,-6.4,60.3,1.24,15.4,25,80.4,53,0.2,45.3,51,97.91,47.3
Defensive Centers,3-and-D Wings,Shooting Wings,Offensive Centers,Combo Guards,11100.011,12,70,98.1,104.5,-6.4,67.3,1.37,18.8,23.8,70.1,47.7,0.2,50,53.5,101.12,44.1
Versatile Forwards,Combo Guards,Shooting Wings,Offensive Centers,3-and-D Wings,11101.01,41,539,105.6,112.4,-6.7,57,1.69,17.8,27.1,71.3,49.7,0.1,50.8,54.3,95.36,48.2
Scoring Wings,Shooting Wings,Scoring Wings,Offensive Centers,3-and-D Wings,10100.21,35,333,100.4,107.2,-6.7,51.7,1.17,15.1,14.3,69.5,40.8,0.2,51.8,55.8,103.32,44.8
3-and-D Wings,Scoring Wings,Defensive Centers,Floor Generals,Floor Generals,20.111,16,71,106.1,112.9,-6.8,66.7,1.71,17.5,28.2,69.8,47.8,0.1,47.6,53.4,101.01,45.9
3-and-D Wings,Scoring Wings,Shooting Wings,Scoring Wings,Defensive Centers,100.211,41,201,105,111.9,-6.9,60.7,1.4,16.8,23.2,67,45.5,0.2,52.7,55.6,100.25,43.3
Shooting Wings,Offensive Centers,Offensive Centers,3-and-D Wings,Floor Generals,20110.01,44,105,99,106,-6.9,59.7,1.54,15.4,20.6,72.2,45.7,0.1,45.7,50.8,101.16,42.6
Defensive Centers,3-and-D Wings,Shooting Wings,Offensive Centers,Combo Guards,11100.011,9,121,101.4,108.5,-7.1,63.7,1.91,18.8,30.7,80.4,55.3,0.1,48.7,50.5,97.09,48.3
Scoring Wings,Shooting Wings,Scoring Wings,Versatile Forwards,Scoring Wings,101.3,11,80,92.5,99.6,-7.2,61,1.2,16.9,18.9,63.5,42.8,0.2,48.9,51.2,97.03,46.9
3-and-D Wings,Defensive Centers,3-and-D Wings,Shooting Wings,Combo Guards,1100.021,27,89,108.6,116,-7.4,44.3,1.15,12.9,31.6,67.5,50,0.1,51,54.9,97.75,47.2
3-and-D Wings,Combo Guards,Shooting Wings,Scoring Wings,Defensive Centers,1100.111,20,84,109.9,117.4,-7.5,52.9,1.48,17,31.3,70.3,51.8,0.2,52.8,56.4,91.63,46.4
Versatile Forwards,Versatile Forwards,Scoring Wings,Floor Generals,Defensive Centers,12.101,14,141,105,112.6,-7.6,56.8,1.86,16.9,29.5,79.2,51.7,0.1,47.6,51.1,98.35,44.1
Combo Guards,Scoring Wings,Offensive Centers,Defensive Centers,Versatile Forwards,11001.101,28,251,99.5,107.1,-7.6,62.3,1.41,18.4,22.1,77.1,50.2,0.2,52,54,96.68,45.6
Defensive Centers,3-and-D Wings,Shooting Wings,Combo Guards,Offensive Centers,11100.011,15,130,102.6,110.3,-7.8,53.1,1.63,15.8,21.7,79.2,49.3,0.1,48.9,52.7,93.17,45.7
Shooting Wings,Shooting Wings,Versatile Forwards,Scoring Wings,Defensive Centers,201.101,12,89,108.8,116.6,-7.9,59.7,1.29,17.9,24.6,81.7,51.2,0.2,54.7,59.4,90.6,44.5
Offensive Centers,Shooting Wings,Scoring Wings,Defensive Centers,Combo Guards,11100.101,14,80,98,106.6,-8.6,51.7,1.72,14.3,27.6,76.9,48.7,0.1,43.5,47.3,95.2,41.8
Defensive Centers,Shooting Wings,Versatile Forwards,Scoring Wings,Floor Generals,111.101,7,67,89.2,98.5,-9.2,54.3,1.14,13.7,24.6,77,49.2,0.2,42.1,46.3,99.02,42.5
Shooting Wings,Defensive Centers,Defensive Centers,3-and-D Wings,Floor Generals,110.012,10,139,95,104.4,-9.3,63,1.15,16.8,28.6,75,50.7,0.2,47.3,50.8,103.06,44.6
Shooting Wings,Combo Guards,Shooting Wings,Offensive Centers,Defensive Centers,11200.001,15,150,99.5,109.8,-10.2,50.9,1.06,15,25,83.2,55.2,0.2,50.8,54.3,91.11,43.9
Versatile Forwards,Offensive Centers,Scoring Wings,Versatile Forwards,3-and-D Wings,10002.11,12,74,103,113.1,-10.2,51.9,1.12,15.3,20,69.5,46.8,0.2,51.8,57.4,93.75,46
Shooting Wings,Defensive Centers,Shooting Wings,Versatile Forwards,3-and-D Wings,201.011,6,96,103.5,114.2,-10.7,60.6,1.19,17,25.3,75,52.1,0.2,52.3,56.8,95.42,45.4
Defensive Centers,Combo Guards,Shooting Wings,Shooting Wings,Versatile Forwards,1201.001,19,83,99.5,111.1,-11.5,68.7,1.84,19.3,28.8,72.7,50.3,0.1,49,50.4,94.27,48.2
3-and-D Wings,Combo Guards,Offensive Centers,3-and-D Wings,Offensive Centers,21000.02,18,167,96.2,108,-11.8,47.9,1.1,13.9,28,71.5,48.7,0.2,46.5,50,90.72,43.4
Shooting Wings,Scoring Wings,Defensive Centers,3-and-D Wings,3-and-D Wings,100.121,20,89,87.3,99.3,-12,68.4,1.34,16,18,73.7,43.6,0.2,40.4,46.9,100.93,42
Defensive Centers,Shooting Wings,Combo Guards,Versatile Forwards,Shooting Wings,1201.001,33,102,95.4,108.2,-12.7,47.8,1.1,12.7,20.7,74.7,47.7,0.1,45.6,50.6,98.1,41
Versatile Forwards,Scoring Wings,Shooting Wings,Shooting Wings,Offensive Centers,10201.1,10,74,91.3,104.3,-13,69.8,1.48,19.3,10.3,79.4,43.5,0.2,49.6,52,94.82,41.8
Shooting Wings,Defensive Centers,Offensive Centers,Combo Guards,Shooting Wings,11200.001,31,94,98,111.1,-13.1,43.2,0.91,12.7,29.1,73.9,51.7,0.2,49.4,51.7,98.84,39.8
Shooting Wings,Versatile Forwards,Scoring Wings,Floor Generals,Defensive Centers,111.101,19,165,90.7,104,-13.3,64.2,1.51,17,20.6,75.6,48.1,0.1,43.3,47.8,98.49,43.4
3-and-D Wings,Combo Guards,Offensive Centers,Shooting Wings,Offensive Centers,21100.01,14,83,97,110.3,-13.3,60.7,1.54,17.6,24.6,70.8,47.7,0.2,47.4,51.1,89.72,45.6
Scoring Wings,Defensive Centers,Offensive Centers,Scoring Wings,Shooting Wings,10100.201,18,99,90.2,104.1,-13.9,56.1,1.32,14.5,19.6,67.3,43.8,0.1,42.8,46.8,97.05,42
Shooting Wings,Versatile Forwards,Offensive Centers,Combo Guards,Defensive Centers,11101.001,23,88,95.1,109,-13.9,50,1.33,14.3,33.3,81.8,55.7,0.1,44,46.8,100.25,42.1
3-and-D Wings,Defensive Centers,3-and-D Wings,Offensive Centers,Combo Guards,11000.021,27,88,97.3,111.4,-14.1,58.7,1.23,15.3,30.1,78.4,52.9,0.2,45.5,50,96.83,42.7
3-and-D Wings,Scoring Wings,Defensive Centers,Floor Generals,Scoring Wings,10.211,16,80,92.8,108.5,-15.6,58.7,0.79,13.4,17.4,75.4,45.5,0.2,46.1,53.7,98.86,38.1
3-and-D Wings,Offensive Centers,Offensive Centers,Floor Generals,Shooting Wings,20110.01,12,106,92.7,109.7,-16.9,52.9,1.02,15.6,15.4,76.7,47.9,0.2,49.2,53.4,103.07,42.5
Combo Guards,Offensive Centers,3-and-D Wings,Shooting Wings,Offensive Centers,21100.01,25,98,98.8,115.9,-17.2,66.7,2.29,17.9,22,72.6,43.4,0.1,44.1,49.1,92.32,41.6
Shooting Wings,Floor Generals,Defensive Centers,Offensive Centers,3-and-D Wings,10110.011,8,70,100.3,117.6,-17.3,49.1,1.23,16.2,18.9,68.6,47.2,0.2,53.6,55.3,89.85,42.6
Defensive Centers,Scoring Wings,3-and-D Wings,Combo Guards,Scoring Wings,1000.211,23,187,90.4,108.6,-18.3,57.8,1.21,15.6,16.7,63,38.4,0.2,45.5,49.4,96.56,36.5
Shooting Wings,Defensive Centers,Scoring Wings,Defensive Centers,3-and-D Wings,100.112,9,126,93.2,111.5,-18.3,65.6,1.15,17.4,24.8,77.8,52.7,0.2,47.3,51.8,101.72,41.8
Combo Guards,Offensive Centers,Offensive Centers,Shooting Wings,Scoring Wings,21100.1,15,76,93.9,113.5,-19.7,51.9,0.85,15.1,20.4,81,53,0.2,51.7,55.3,91.98,40.3
3-and-D Wings,Versatile Forwards,Scoring Wings,Scoring Wings,Defensive Centers,1.211,15,70,101.5,121.3,-19.7,61.1,1.38,17.7,18.6,76.5,45.5,0.2,52.2,55.8,98.16,40
Shooting Wings,Scoring Wings,Defensive Centers,Versatile Forwards,Scoring Wings,101.201,18,221,95.8,116.6,-20.7,53.2,1.51,15.8,18.9,71.5,44.4,0.1,47.6,50.3,97.72,38.2
3-and-D Wings,Scoring Wings,Scoring Wings,Defensive Centers,Floor Generals,10.211,24,92,106.6,127.8,-21.2,47.7,1.15,13,24.7,65.7,43.2,0.1,50.3,55.1,98.23,36.3
Combo Guards,Defensive Centers,Scoring Wings,Offensive Centers,3-and-D Wings,11000.111,9,88,92.9,114.2,-21.3,41.5,0.9,12.1,19.5,80,47.4,0.2,47.7,50.4,98.57,39.6
Shooting Wings,Defensive Centers,Shooting Wings,Defensive Centers,3-and-D Wings,200.012,9,73,82.6,104.4,-21.8,67.4,1,16.1,20,76.8,49.3,0.2,43.5,47,98.19,36
Versatile Forwards,Scoring Wings,Offensive Centers,Scoring Wings,Shooting Wings,10101.2,18,71,93.6,115.4,-21.8,51.2,1.16,11.9,33.3,74.6,51.1,0.1,38.2,44.5,94.6,34
3-and-D Wings,Scoring Wings,Offensive Centers,3-and-D Wings,Scoring Wings,10000.22,13,82,101.4,124.7,-23.2,55,0.89,14.8,35.3,59,47.9,0.2,50,55,96.35,38.3
Shooting Wings,Scoring Wings,Defensive Centers,Offensive Centers,Scoring Wings,10100.201,33,198,94.6,118,-23.3,46.1,1.05,12.7,19.5,72.7,46.4,0.2,45,50.4,100.4,35.1
Shooting Wings,Scoring Wings,Defensive Centers,Offensive Centers,Scoring Wings,10100.201,51,572,88.8,112.9,-24,49.3,1.09,13,19,74,44.6,0.2,42.7,47.1,100.11,35.1
3-and-D Wings,Combo Guards,Combo Guards,Combo Guards,Offensive Centers,13000.01,9,78,98,122.1,-24.1,61.4,1.75,17.5,11.1,77.8,39.7,0.1,50.4,53,98.14,33.3
Shooting Wings,3-and-D Wings,Floor Generals,Defensive Centers,3-and-D Wings,110.021,20,69,95.6,119.8,-24.2,44.9,1.16,12.7,21,75.8,48.4,0.1,44.7,50,95.01,38
Scoring Wings,Floor Generals,Offensive Centers,Offensive Centers,Shooting Wings,20110.1,10,86,78.7,105.6,-26.9,47.5,0.67,12.8,21.1,73.8,48.8,0.2,44.3,46.3,94.96,33.8
Offensive Centers,Shooting Wings,Defensive Centers,Combo Guards,3-and-D Wings,11100.011,11,90,89.3,117.7,-28.4,59.7,1.74,15.6,28.2,76.5,49.5,0.1,39.9,43.2,99.5,35.2
Scoring Wings,3-and-D Wings,Shooting Wings,Scoring Wings,Versatile Forwards,101.21,14,73,76.6,106.5,-29.9,44.7,0.94,9.9,11.3,67.2,35.5,0.1,35.5,40.8,97.64,23.6
Shooting Wings,Combo Guards,3-and-D Wings,Defensive Centers,Floor Generals,1110.011,22,72,88.5,118.8,-30.3,59.2,1.32,15.2,18.9,68.6,39.2,0.1,41.7,46.8,100,30.6
3-and-D Wings,Defensive Centers,Versatile Forwards,Combo Guards,Offensive Centers,11001.011,5,67,78.1,115.3,-37.2,57.1,1,13.2,37.5,66,49.2,0.2,35,38.2,90.62,26.6